train_sites,test_site,model,experiment_type,mean_psi,prevalence_diff,c2st_auc
cleveland+hungary+switzerland,va,lgbm,external_uci,0.987508,0.245000,0.926979
cleveland+hungary+switzerland,va,lr,external_uci,0.987508,0.245000,0.926979
cleveland+hungary+switzerland,va,rf,external_uci,0.987508,0.245000,0.926979
cleveland+hungary+switzerland,va,xgb,external_uci,0.987508,0.245000,0.926979
cleveland+hungary+va,switzerland,lgbm,external_uci,0.183985,0.440606,0.711726
cleveland+hungary+va,switzerland,lr,external_uci,0.183985,0.440606,0.711726
cleveland+hungary+va,switzerland,rf,external_uci,0.183985,0.440606,0.711726
cleveland+hungary+va,switzerland,xgb,external_uci,0.183985,0.440606,0.711726
cleveland+switzerland+va,hungary,lgbm,external_uci,1.708978,0.283226,0.982250
cleveland+switzerland+va,hungary,lr,external_uci,1.708978,0.283226,0.982250
cleveland+switzerland+va,hungary,rf,external_uci,1.708978,0.283226,0.982250
cleveland+switzerland+va,hungary,xgb,external_uci,1.708978,0.283226,0.982250
cleveland,hungary,lgbm,external_uci,1.770753,0.098202,0.997966
cleveland,hungary,lr,external_uci,1.770753,0.098202,0.997966
cleveland,hungary,rf,external_uci,1.770753,0.098202,0.997966
cleveland,hungary,xgb,external_uci,1.770753,0.098202,0.997966
cleveland,switzerland,lgbm,external_uci,0.223586,0.476213,0.741416
cleveland,switzerland,lr,external_uci,0.223586,0.476213,0.741416
cleveland,switzerland,rf,external_uci,0.223586,0.476213,0.741416
cleveland,switzerland,xgb,external_uci,0.223586,0.476213,0.741416
cleveland,va,lgbm,external_uci,1.246320,0.286254,1.000000
cleveland,va,lr,external_uci,1.246320,0.286254,1.000000
cleveland,va,rf,external_uci,1.246320,0.286254,1.000000
cleveland,va,xgb,external_uci,1.246320,0.286254,1.000000
hungary+switzerland+va,cleveland,lgbm,external_uci,1.464647,0.140930,0.974997
hungary+switzerland+va,cleveland,lr,external_uci,1.464647,0.140930,0.974997
hungary+switzerland+va,cleveland,rf,external_uci,1.464647,0.140930,0.974997
hungary+switzerland+va,cleveland,xgb,external_uci,1.464647,0.140930,0.974997
hungary,cleveland,lgbm,external_uci,1.655309,0.098202,1.000000
hungary,cleveland,lr,external_uci,1.655309,0.098202,1.000000
hungary,cleveland,rf,external_uci,1.655309,0.098202,1.000000
hungary,cleveland,xgb,external_uci,1.655309,0.098202,1.000000
hungary,switzerland,lgbm,external_uci,0.364510,0.574415,0.839785
hungary,switzerland,lr,external_uci,0.364510,0.574415,0.839785
hungary,switzerland,rf,external_uci,0.364510,0.574415,0.839785
hungary,switzerland,xgb,external_uci,0.364510,0.574415,0.839785
hungary,va,lgbm,external_uci,0.373666,0.384456,0.925449
hungary,va,lr,external_uci,0.373666,0.384456,0.925449
hungary,va,rf,external_uci,0.373666,0.384456,0.925449
hungary,va,xgb,external_uci,0.373666,0.384456,0.925449
switzerland,cleveland,lgbm,external_uci,0.341869,0.476213,0.746013
switzerland,cleveland,lr,external_uci,0.341869,0.476213,0.746013
switzerland,cleveland,rf,external_uci,0.341869,0.476213,0.746013
switzerland,cleveland,xgb,external_uci,0.341869,0.476213,0.746013
switzerland,hungary,lgbm,external_uci,0.733830,0.574415,0.842747
switzerland,hungary,lr,external_uci,0.733830,0.574415,0.842747
switzerland,hungary,rf,external_uci,0.733830,0.574415,0.842747
switzerland,hungary,xgb,external_uci,0.733830,0.574415,0.842747
switzerland,va,lgbm,external_uci,0.209082,0.189959,0.732675
switzerland,va,lr,external_uci,0.209082,0.189959,0.732675
switzerland,va,rf,external_uci,0.209082,0.189959,0.732675
switzerland,va,xgb,external_uci,0.209082,0.189959,0.732675
va,cleveland,lgbm,external_uci,2.271378,0.286254,1.000000
va,cleveland,lr,external_uci,2.271378,0.286254,1.000000
va,cleveland,rf,external_uci,2.271378,0.286254,1.000000
va,cleveland,xgb,external_uci,2.271378,0.286254,1.000000
va,hungary,lgbm,external_uci,0.711510,0.384456,0.945216
va,hungary,lr,external_uci,0.711510,0.384456,0.945216
va,hungary,rf,external_uci,0.711510,0.384456,0.945216
va,hungary,xgb,external_uci,0.711510,0.384456,0.945216
va,switzerland,lgbm,external_uci,0.199771,0.189959,0.750517
va,switzerland,lr,external_uci,0.199771,0.189959,0.750517
va,switzerland,rf,external_uci,0.199771,0.189959,0.750517
va,switzerland,xgb,external_uci,0.199771,0.189959,0.750517
cleveland+hungary+switzerland+va,kaggle,lgbm,external_kaggle_uci,0.626908,0.058586,0.935372
cleveland+hungary+switzerland+va,kaggle,lr,external_kaggle_uci,0.626908,0.058586,0.935372
cleveland+hungary+switzerland+va,kaggle,rf,external_kaggle_uci,0.626908,0.058586,0.935372
cleveland+hungary+switzerland+va,kaggle,xgb,external_kaggle_uci,0.626908,0.058586,0.935372
cleveland,kaggle,lgbm,external_kaggle_uci,0.691401,0.035929,0.862732
cleveland,kaggle,lr,external_kaggle_uci,0.691401,0.035929,0.862732
cleveland,kaggle,rf,external_kaggle_uci,0.691401,0.035929,0.862732
cleveland,kaggle,xgb,external_kaggle_uci,0.691401,0.035929,0.862732
hungary,kaggle,lgbm,external_kaggle_uci,0.393522,0.134130,0.880913
hungary,kaggle,lr,external_kaggle_uci,0.393522,0.134130,0.880913
hungary,kaggle,rf,external_kaggle_uci,0.393522,0.134130,0.880913
hungary,kaggle,xgb,external_kaggle_uci,0.393522,0.134130,0.880913
kaggle,cleveland,lgbm,external_kaggle_uci,0.075956,0.035929,0.873674
kaggle,cleveland,lr,external_kaggle_uci,0.075956,0.035929,0.873674
kaggle,cleveland,rf,external_kaggle_uci,0.075956,0.035929,0.873674
kaggle,cleveland,xgb,external_kaggle_uci,0.075956,0.035929,0.873674
kaggle,hungary,lgbm,external_kaggle_uci,0.286285,0.134130,0.888498
kaggle,hungary,lr,external_kaggle_uci,0.286285,0.134130,0.888498
kaggle,hungary,rf,external_kaggle_uci,0.286285,0.134130,0.888498
kaggle,hungary,xgb,external_kaggle_uci,0.286285,0.134130,0.888498
kaggle,switzerland,lgbm,external_kaggle_uci,0.194549,0.440285,0.850493
kaggle,switzerland,lr,external_kaggle_uci,0.194549,0.440285,0.850493
kaggle,switzerland,rf,external_kaggle_uci,0.194549,0.440285,0.850493
kaggle,switzerland,xgb,external_kaggle_uci,0.194549,0.440285,0.850493
kaggle,va,lgbm,external_kaggle_uci,0.199105,0.250325,0.926675
kaggle,va,lr,external_kaggle_uci,0.199105,0.250325,0.926675
kaggle,va,rf,external_kaggle_uci,0.199105,0.250325,0.926675
kaggle,va,xgb,external_kaggle_uci,0.199105,0.250325,0.926675
switzerland,kaggle,lgbm,external_kaggle_uci,0.930826,0.440285,0.846903
switzerland,kaggle,lr,external_kaggle_uci,0.930826,0.440285,0.846903
switzerland,kaggle,rf,external_kaggle_uci,0.930826,0.440285,0.846903
switzerland,kaggle,xgb,external_kaggle_uci,0.930826,0.440285,0.846903
va,kaggle,lgbm,external_kaggle_uci,1.317513,0.250325,0.922212
va,kaggle,lr,external_kaggle_uci,1.317513,0.250325,0.922212
va,kaggle,rf,external_kaggle_uci,1.317513,0.250325,0.922212
va,kaggle,xgb,external_kaggle_uci,1.317513,0.250325,0.922212
